KUCZYNSKI Lukasz POSITION,KUCZYNSKI Lukasz LAP TIME,KUCZYNSKI Lukasz ELAPSED TIME,ARADHYA Akash POSITION,ARADHYA Akash LAP TIME,ARADHYA Akash ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME,FAJKUS Radek POSITION,FAJKUS Radek LAP TIME,FAJKUS Radek ELAPSED TIME
1,6.74,6.74,4,7.16,7.16,2,6.92,6.92,3,7.11,7.11,5,7.23,7.23
1,8.98,15.72,5,9.27,16.43,2,8.91,15.83,3,8.92,16.03,4,8.98,16.21
2,8.58,24.30,5,8.92,25.35,1,8.35,24.18,3,8.45,24.48,4,8.57,24.78
3,8.78,33.08,5,9.19,34.54,1,8.60,32.78,2,8.49,32.97,4,8.74,33.52
3,9.12,42.20,5,9.58,44.12,1,8.86,41.64,2,8.81,41.78,4,9.09,42.61
