Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,WANG Hong Yang POSITION,WANG Hong Yang LAP TIME,WANG Hong Yang ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME
1,6.82,6.82,4,6.92,6.92,2,6.85,6.85,3,6.85,6.85
1,8.98,15.80,4,9.05,15.97,2,8.98,15.83,3,9.11,15.97
1,8.42,24.23,3,8.47,24.44,2,8.51,24.35,4,8.67,24.64
1,8.46,32.70,3,8.53,32.97,2,8.45,32.80,4,8.81,33.45
1,8.66,41.359,0,,DNF,2,8.92,41.717,3,9.36,42.804
