SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,Louise MILESI POSITION,Louise MILESI LAP TIME,Louise MILESI ELAPSED TIME,Monika GRZADKOWSKA POSITION,Monika GRZADKOWSKA LAP TIME,Monika GRZADKOWSKA ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
3,8.24,8.24,2,7.93,7.93,4,8.38,8.38,1,7.60,7.60
3,9.86,18.10,2,10.11,18.04,4,9.89,18.27,1,9.24,16.84
2,9.13,27.23,3,9.71,27.75,3,9.48,27.75,1,8.79,25.63
2,9.34,36.57,4,9.86,37.61,3,9.68,37.43,1,8.99,34.62
2,9.64,46.21,4,9.90,47.486,3,9.84,47.253,1,9.06,43.68
