CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,KIM Dagyeom POSITION,KIM Dagyeom LAP TIME,KIM Dagyeom ELAPSED TIME,DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,Furkan AKAR POSITION,Furkan AKAR LAP TIME,Furkan AKAR ELAPSED TIME
2,7.00,7.00,1,6.82,6.82,5,7.44,7.44,3,7.14,,4,7.30,7.30
2,8.87,15.87,1,8.90,15.72,5,9.18,16.62,3,8.83,,4,8.81,16.11
3,8.42,24.29,1,8.33,24.05,5,8.83,25.45,2,8.16,,4,8.58,24.69
3,8.40,32.69,1,8.43,32.48,5,8.79,34.24,2,8.41,,4,8.52,33.21
4,20.57,53.265,1,8.85,41.33,3,9.04,43.285,5,21.04,,2,8.92,42.139
