HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,April SHIN POSITION,April SHIN LAP TIME,April SHIN ELAPSED TIME,BOTTER GOMEZ Nicole POSITION,BOTTER GOMEZ Nicole LAP TIME,BOTTER GOMEZ Nicole ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Tetyana ZARVANSKA POSITION,Tetyana ZARVANSKA LAP TIME,Tetyana ZARVANSKA ELAPSED TIME
1,13.49,13.49,3,13.73,13.73,4,13.82,13.82,2,13.58,13.58,5,13.92,13.92
1,10.83,24.32,4,10.92,24.65,3,10.72,24.54,2,10.84,24.42,5,10.84,24.76
1,10.58,34.90,4,10.57,35.22,3,10.55,35.09,2,10.57,34.99,5,10.59,35.35
1,10.58,45.48,4,10.56,45.78,3,10.52,45.61,2,10.53,45.52,5,10.53,45.88
2,9.95,55.43,4,9.79,55.57,3,9.83,55.44,1,9.70,55.22,5,10.11,55.99
3,9.51,1:04.94,4,9.70,1:05.27,2,9.35,1:04.79,1,9.26,1:04.48,5,10.23,1:06.22
3,9.48,1:14.42,4,10.13,1:15.40,2,9.25,1:14.04,1,9.30,1:13.78,5,10.72,1:16.94
3,9.50,1:23.92,4,11.13,1:26.53,2,9.55,1:23.59,1,9.39,1:23.17,5,11.11,1:28.05
0,9.54,1:33.46,4,11.89,1:38.42,0,9.88,1:33.47,1,9.59,1:32.76,5,11.32,1:39.37
