SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Lexi BURKHOLDER POSITION,Lexi BURKHOLDER LAP TIME,Lexi BURKHOLDER ELAPSED TIME,ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME,Courtney COBURN POSITION,Courtney COBURN LAP TIME,Courtney COBURN ELAPSED TIME
2,16.97,16.97,3,17.12,17.12,1,16.85,16.85,4,17.25,17.25
2,12.66,29.63,3,12.63,29.75,1,12.65,29.50,4,12.62,29.87
2,11.84,41.47,3,11.79,41.54,1,11.88,41.38,4,11.81,41.68
1,11.04,52.51,3,11.04,52.58,2,11.16,52.54,4,11.10,52.78
1,10.58,1:03.09,2,10.62,1:03.20,3,10.76,1:03.30,4,10.64,1:03.42
1,10.65,1:13.74,2,10.65,1:13.85,3,10.70,1:14.00,4,10.78,1:14.20
1,10.28,1:24.02,2,10.31,1:24.16,3,10.33,1:24.33,4,10.39,1:24.59
1,10.18,1:34.20,2,10.16,1:34.32,3,10.34,1:34.67,4,10.50,1:35.09
1,10.09,1:44.287,2,10.04,1:44.353,3,10.58,1:45.242,4,10.82,1:45.909
