MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
2,14.82,14.82,3,14.96,14.96,1,14.70,14.70,4,15.13,,5,15.26,15.26
2,11.79,26.61,3,11.79,26.75,1,11.82,26.52,5,11.93,,4,11.62,26.88
3,11.35,37.96,4,11.34,38.09,1,11.29,37.81,2,10.81,,5,11.34,38.22
3,10.99,48.95,4,10.95,49.04,1,10.90,48.71,2,10.98,,5,10.94,49.16
3,10.26,59.21,4,10.25,59.29,2,10.44,59.15,1,10.22,,5,10.25,59.41
3,9.76,1:08.97,4,9.78,1:09.07,2,9.77,1:08.92,1,9.83,,5,9.78,1:09.19
1,9.07,1:18.04,2,9.26,1:18.33,5,9.71,1:18.63,3,9.53,,4,9.35,1:18.54
1,9.22,1:27.26,2,9.13,1:27.46,5,9.40,1:28.03,3,9.42,,4,9.34,1:27.88
1,9.53,1:36.79,2,9.38,1:36.84,3,9.50,1:37.539,5,30.27,,4,10.09,1:37.970
