Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
2,14.17,14.17,3,14.29,14.29,1,14.02,14.02,4,14.47,14.47
2,11.41,25.58,3,11.44,25.73,1,11.44,25.46,4,11.39,25.86
2,11.69,37.27,3,11.66,37.39,1,11.66,37.12,4,11.70,37.56
2,11.50,48.77,3,11.52,48.91,1,11.44,48.56,4,11.47,49.03
1,10.89,59.66,3,10.92,59.83,2,11.16,59.72,4,10.99,1:00.02
1,10.06,1:09.72,3,10.05,1:09.88,2,10.16,1:09.88,4,10.02,1:10.04
1,9.35,1:19.07,3,9.32,1:19.20,2,9.31,1:19.19,4,9.26,1:19.30
1,9.19,1:28.26,3,9.20,1:28.40,2,9.15,1:28.34,4,9.21,1:28.51
1,9.26,1:37.517,0,,PEN,2,9.29,1:37.625,3,20.68,1:49.182
