Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
2,13.37,13.37,1,13.24,13.24,3,13.52,13.52,4,13.66,13.66
2,9.63,23.00,1,9.73,22.97,3,9.67,23.19,4,9.66,23.32
1,9.33,32.33,2,9.42,32.39,3,9.34,32.53,4,9.35,32.67
1,9.23,41.56,2,9.23,41.62,3,9.21,41.74,4,9.16,41.83
1,9.10,50.66,2,9.11,50.73,3,9.06,50.80,4,9.12,50.95
1,9.15,59.81,2,9.16,59.89,3,9.19,59.99,4,9.15,1:00.10
1,9.07,1:08.88,2,9.06,1:08.95,3,9.12,1:09.11,4,9.10,1:09.20
1,9.05,1:17.93,2,9.07,1:18.02,3,9.00,1:18.11,4,8.92,1:18.12
1,9.18,1:27.11,2,9.16,1:27.18,4,9.44,1:27.546,3,9.19,1:27.31
