Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME
2,12.49,12.49,1,12.32,12.32,3,12.62,12.62,4,12.75,12.75
2,9.04,21.53,1,9.10,21.42,3,9.02,21.64,4,8.99,21.74
2,9.04,30.57,1,8.99,30.41,3,9.01,30.65,4,8.99,30.73
2,8.92,39.49,1,8.96,39.37,4,9.02,39.67,3,8.92,39.65
2,8.98,48.47,1,8.99,48.36,4,8.99,48.66,3,8.88,48.53
3,9.08,57.55,1,9.10,57.46,4,9.06,57.72,2,8.99,57.52
3,9.57,1:07.12,1,9.27,1:06.73,4,9.49,1:07.21,2,9.27,1:06.79
4,10.15,1:17.27,2,9.36,1:16.09,3,9.30,1:16.51,1,9.17,1:15.96
4,11.05,1:28.32,2,9.41,1:25.50,3,9.38,1:25.89,1,9.29,1:25.25
