STODDARD Corinne POSITION,STODDARD Corinne LAP TIME,STODDARD Corinne ELAPSED TIME,CHAMBERLAND-DOSTIE Lea POSITION,CHAMBERLAND-DOSTIE Lea LAP TIME,CHAMBERLAND-DOSTIE Lea ELAPSED TIME,TOPOLSKA Gabriela POSITION,TOPOLSKA Gabriela LAP TIME,TOPOLSKA Gabriela ELAPSED TIME,CHANG Hui POSITION,CHANG Hui LAP TIME,CHANG Hui ELAPSED TIME
2,7.57,7.57,1,7.36,7.36,3,7.78,7.78,4,8.28,8.28
2,9.37,16.94,1,9.42,16.78,3,9.49,17.27,4,10.05,18.33
1,8.95,25.89,2,9.26,26.04,3,9.08,26.35,4,9.48,27.81
1,9.16,35.05,2,9.10,35.14,3,9.33,35.68,4,9.77,37.58
1,9.23,44.28,2,9.32,44.46,3,9.72,45.40,4,9.94,47.522
