Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,LIM Hyo Jun POSITION,LIM Hyo Jun LAP TIME,LIM Hyo Jun ELAPSED TIME
1,12.33,12.33,3,12.63,12.63,2,12.49,12.49,4,12.76,12.76
1,9.63,21.96,4,9.54,22.17,2,9.57,22.06,2,9.30,22.06
2,9.03,30.99,4,9.01,31.18,3,9.02,31.08,1,8.78,30.84
1,8.73,39.72,4,8.81,39.99,3,8.81,39.89,2,8.99,39.83
4,9.08,48.80,3,8.79,48.78,2,8.82,48.71,1,8.76,48.59
4,8.94,57.74,3,8.85,57.63,2,8.78,57.49,1,8.89,57.48
3,8.67,1:06.41,4,8.90,1:06.53,2,8.83,1:06.32,1,8.74,1:06.22
3,8.77,1:15.18,4,8.90,1:15.43,2,8.78,1:15.10,1,8.79,1:15.01
0,8.87,1:24.05,4,8.99,1:24.42,0,8.93,1:24.03,1,8.96,1:23.97
