Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
1,6.657,6.657,3,6.894,6.894,2,6.666,6.666,4,7.167,7.167
2,9.017,15.674,4,21.560,28.453,1,8.905,15.570,3,8.747,15.913
2,8.685,24.358,4,16.936,45.388,1,8.698,24.268,3,8.624,24.537
2,8.703,33.061,4,13.046,58.433,1,8.712,32.980,3,8.713,33.250
3,9.74,42.799,4,13.07,1:11.501,1,8.97,41.945,2,8.79,42.031
