Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Aida POPIOLEK POSITION,Aida POPIOLEK LAP TIME,Aida POPIOLEK ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME
2,14.804,14.804,1,14.797,14.797,4,15.060,15.060,3,14.997,14.997,5,15.256,15.256
1,11.571,26.375,2,11.609,26.406,3,11.434,26.494,4,11.524,26.521,5,11.480,26.735
1,11.291,37.665,2,11.343,37.748,4,11.381,37.875,3,11.321,37.842,5,11.346,38.081
2,11.415,49.080,1,11.212,48.959,4,11.372,49.247,3,11.293,49.134,5,11.404,49.484
2,10.106,59.185,1,9.951,58.910,3,10.052,59.298,4,10.169,59.303,5,10.179,59.663
2,9.766,1:08.950,1,9.847,1:08.756,3,10.300,1:09.598,4,10.572,1:09.875,5,10.262,1:09.925
2,10.185,1:19.135,1,10.038,1:18.794,3,10.823,1:20.420,4,10.770,1:20.645,5,10.786,1:20.710
2,10.108,1:29.243,1,10.377,1:29.171,5,11.498,1:31.918,4,10.876,1:31.521,3,10.722,1:31.431
1,10.25,1:39.484,2,10.34,1:39.505,5,13.23,1:45.147,4,11.27,1:42.784,3,10.77,1:42.201
