WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME
1,6.77,6.77,3,7.05,7.05,4,7.14,7.14,2,6.89,6.89
1,8.77,15.54,3,8.83,15.88,4,8.82,15.96,2,8.86,15.75
1,8.44,23.98,3,8.29,24.17,4,8.35,24.31,2,8.33,24.08
2,8.58,32.56,3,8.50,32.67,4,8.56,32.87,1,8.42,32.50
2,8.83,41.384,3,8.76,41.422,4,8.81,41.678,1,8.77,41.266
