KIM Min-Jee POSITION,KIM Min-Jee LAP TIME,KIM Min-Jee ELAPSED TIME,Joanna WILLIAMS POSITION,Joanna WILLIAMS LAP TIME,Joanna WILLIAMS ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME,Celine LECOMPERE POSITION,Celine LECOMPERE LAP TIME,Celine LECOMPERE ELAPSED TIME
1,14.991,14.991,5,15.238,15.238,3,15.093,15.093,2,15.054,15.054,4,15.221,15.221
1,10.807,25.797,5,10.985,26.223,3,10.883,25.976,4,10.964,26.018,2,10.702,25.922
2,10.380,36.177,5,10.245,36.467,3,10.264,36.240,1,9.998,36.016,4,10.450,36.371
2,10.297,46.474,5,10.297,46.764,3,10.401,46.640,1,10.398,46.413,4,10.310,46.680
5,11.533,58.007,2,10.239,57.003,3,10.377,57.016,1,10.366,56.779,4,10.370,57.050
2,8.908,1:06.915,5,10.314,1:07.317,1,9.772,1:06.788,4,10.369,1:07.148,3,10.012,1:07.062
1,9.977,1:16.891,4,9.770,1:17.086,2,10.129,1:16.916,5,10.511,1:17.659,3,9.992,1:17.054
1,9.822,1:26.713,3,10.048,1:27.134,2,10.002,1:26.918,5,11.160,1:28.819,4,10.308,1:27.361
1,10.05,1:36.761,3,10.19,1:37.320,2,9.86,1:36.777,5,11.49,1:40.303,4,10.83,1:38.189
