Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,Kristina VUTEVA POSITION,Kristina VUTEVA LAP TIME,Kristina VUTEVA ELAPSED TIME
1,8.32,8.32,2,8.43,8.43,3,8.44,8.44,5,8.92,8.92,4,8.75,8.75,6,8.99,8.99
2,11.30,19.62,1,11.09,19.53,3,11.43,19.87,5,11.05,19.98,4,11.18,19.94,6,11.20,20.19
2,11.24,30.86,1,11.10,30.64,3,11.03,30.91,4,11.03,31.01,5,11.08,31.02,6,11.21,31.41
3,10.40,41.27,2,10.44,41.08,4,10.48,41.39,1,9.94,40.95,5,10.50,41.52,6,10.45,41.87
3,10.33,51.60,1,10.27,51.35,4,10.31,51.70,2,10.53,51.49,5,10.24,51.77,6,10.34,52.21
4,10.35,1:01.96,1,10.30,1:01.65,3,10.14,1:01.85,2,10.15,1:01.65,5,10.36,1:02.13,6,10.28,1:02.49
4,10.19,1:12.15,1,10.19,1:11.84,3,10.27,1:12.12,2,10.35,1:12.00,5,10.16,1:12.30,6,10.59,1:13.09
4,10.19,1:22.35,1,10.29,1:22.14,3,10.15,1:22.28,2,10.17,1:22.17,5,10.16,1:22.47,6,10.94,1:24.03
3,9.87,1:32.23,1,9.62,1:31.76,4,9.99,1:32.28,2,9.91,1:32.09,5,9.89,1:32.36,6,11.77,1:35.80
3,9.99,1:42.22,1,10.09,1:41.86,5,10.27,1:42.55,2,9.98,1:42.07,4,9.88,1:42.25,6,12.24,1:48.05
4,10.10,1:52.32,2,9.99,1:51.85,5,10.32,1:52.87,3,10.23,1:52.31,1,8.09,1:50.34,6,12.98,2:01.03
4,10.26,2:02.59,1,10.18,2:02.04,5,10.87,2:03.75,3,10.25,2:02.57,2,12.00,2:02.35,6,14.06,2:15.10
3,10.27,2:12.86,1,10.30,2:12.34,5,11.03,2:14.78,4,10.79,2:13.36,2,10.26,2:12.61,6,12.71,2:27.81
3,10.26,2:23.115,1,10.56,2:22.895,5,11.80,2:26.580,4,11.22,2:24.572,2,10.46,2:23.064,6,12.82,2:40.624
