Eitoku IKE POSITION,Eitoku IKE LAP TIME,Eitoku IKE ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME,Mike KOOREMAN POSITION,Mike KOOREMAN LAP TIME,Mike KOOREMAN ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Ganbat JARGALANCHULUUN POSITION,Ganbat JARGALANCHULUUN LAP TIME,Ganbat JARGALANCHULUUN ELAPSED TIME
1,8.133,8.133,2,8.511,8.511,3,8.714,8.714,5,8.873,8.873,6,8.912,8.912,4,8.790,8.790
1,12.061,20.193,2,11.721,20.232,3,11.796,20.509,4,11.852,20.725,5,11.917,20.828,6,12.132,20.922
1,11.408,31.601,2,11.457,31.688,3,11.256,31.765,4,11.308,32.032,5,11.327,32.155,6,11.441,32.362
1,11.283,42.883,2,11.410,43.097,3,11.474,43.238,5,11.574,43.605,4,11.246,43.400,6,11.584,43.946
1,10.729,53.612,2,10.666,53.763,4,10.772,54.010,5,10.488,54.093,3,10.383,53.782,6,12.353,56.298
1,10.613,1:04.224,3,10.685,1:04.448,4,10.573,1:04.583,5,10.594,1:04.686,2,10.503,1:04.285,6,11.122,1:07.420
1,10.572,1:14.795,3,10.499,1:14.946,5,10.621,1:15.203,2,10.117,1:14.803,4,10.754,1:15.038,6,11.914,1:19.334
4,10.197,1:24.992,3,9.978,1:24.924,5,9.877,1:25.080,2,9.953,1:24.756,1,9.688,1:24.726,6,12.231,1:31.564
5,10.131,1:35.122,2,9.856,1:34.780,4,9.952,1:35.032,3,10.195,1:34.950,1,9.991,1:34.717,6,12.669,1:44.233
3,9.516,1:44.638,2,9.640,1:44.420,5,9.868,1:44.899,4,9.789,1:44.738,1,9.586,1:44.302,6,13.167,1:57.399
3,10.160,1:54.797,2,10.326,1:54.745,5,10.111,1:55.010,4,10.116,1:54.854,1,10.266,1:54.568,6,13.216,2:10.614
3,10.165,2:04.962,2,9.983,2:04.728,5,10.430,2:05.439,4,10.224,2:05.077,1,10.068,2:04.636,6,12.983,2:23.597
3,9.905,2:14.867,2,9.994,2:14.722,5,10.819,2:16.258,4,9.821,2:14.898,1,9.956,2:14.591,6,14.058,2:37.654
4,10.22,2:25.086,1,10.13,2:24.843,5,11.61,2:27.864,3,10.07,2:24.961,2,10.28,2:24.863,6,0.13,2:37.782
