NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME
3,12.79,12.79,1,12.46,12.46,2,12.54,12.54,4,12.85,12.85
3,9.88,22.67,1,10.07,22.53,2,10.10,22.64,4,9.91,22.76
1,9.05,31.72,2,9.29,31.82,3,9.23,31.87,4,9.12,31.88
1,9.25,40.97,2,9.25,41.07,4,9.43,41.30,3,9.32,41.20
1,9.22,50.19,2,9.22,50.29,4,9.21,50.51,3,9.19,50.39
1,9.01,59.20,2,9.01,59.30,4,8.99,59.50,3,9.00,59.39
1,8.81,1:08.01,2,8.94,1:08.24,4,8.91,1:08.41,3,8.92,1:08.31
1,8.80,1:16.81,2,9.16,1:17.40,3,9.08,1:17.49,4,9.27,1:17.58
1,9.81,1:26.617,2,9.65,1:27.048,3,9.59,1:27.071,4,9.90,1:27.473
