Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
1,7.38,7.38,2,7.39,7.39,3,7.61,7.61,4,7.70,7.70
3,10.20,17.58,1,9.50,16.89,4,10.13,17.74,2,9.49,17.19
3,9.55,27.13,1,9.29,26.18,4,9.42,27.16,2,9.13,26.32
3,9.51,36.64,2,9.44,35.62,4,9.64,36.80,1,9.22,35.54
4,10.14,46.778,2,9.54,45.154,3,9.95,46.743,1,9.59,45.129
