Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Sandra TRUSOVA POSITION,Sandra TRUSOVA LAP TIME,Sandra TRUSOVA ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME
2,14.31,14.31,4,14.51,14.51,1,14.18,14.18,5,14.54,14.54,3,14.42,14.42
2,11.01,25.32,4,11.04,25.55,1,11.04,25.22,5,11.20,25.74,3,11.03,25.45
2,10.77,36.09,4,10.78,36.33,1,10.77,35.99,5,10.62,36.36,3,10.73,36.18
1,10.33,46.42,4,10.38,46.71,2,10.44,46.43,5,10.44,46.80,3,10.39,46.57
1,9.65,56.07,4,9.92,56.63,2,9.78,56.21,5,10.22,57.02,3,9.68,56.25
1,9.63,1:05.70,4,10.14,1:06.77,2,9.64,1:05.85,5,10.97,1:07.99,3,9.62,1:05.87
1,9.48,1:15.18,4,10.55,1:17.32,3,9.73,1:15.58,5,11.73,1:19.72,2,9.32,1:15.19
2,9.43,1:24.61,4,10.91,1:28.23,3,9.88,1:25.46,5,12.08,1:31.80,1,9.13,1:24.32
2,9.56,1:34.17,4,11.31,1:39.54,3,10.15,1:35.61,5,12.36,1:44.16,1,9.32,1:33.64
