SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,WANG Hong Yang POSITION,WANG Hong Yang LAP TIME,WANG Hong Yang ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME
4,6.89,6.89,3,6.88,6.88,1,6.83,6.83,2,6.86,6.86
1,8.91,15.80,3,8.99,15.88,4,9.27,16.11,2,8.94,15.80
2,8.57,24.38,3,8.55,24.43,4,8.88,24.99,1,8.52,24.32
2,8.74,33.13,1,8.67,33.10,4,8.73,33.72,3,9.38,33.71
1,8.89,42.015,2,9.00,42.095,3,9.34,43.059,4,9.81,43.511
