ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,XU Aili POSITION,XU Aili LAP TIME,XU Aili ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME
5,15.45,15.45,2,15.07,15.07,3,15.09,15.09,4,15.34,15.34,1,14.89,14.89
5,11.03,26.48,1,11.01,26.08,3,11.15,26.24,4,11.01,26.35,2,11.28,26.17
3,11.16,37.64,4,18.88,44.96,5,20.51,46.75,2,11.16,37.51,1,11.07,37.24
3,10.51,48.15,4,14.43,59.39,5,13.98,1:00.73,2,10.52,48.03,1,10.67,47.91
3,10.84,58.99,4,11.01,1:10.40,5,11.65,1:12.38,2,10.82,58.85,1,10.85,58.76
3,10.68,1:09.67,4,11.38,1:21.78,5,11.44,1:23.82,1,10.36,1:09.21,2,10.56,1:09.32
3,10.62,1:20.29,4,11.71,1:33.49,5,11.61,1:35.43,1,10.45,1:19.66,2,10.44,1:19.76
3,10.81,1:31.10,4,11.87,1:45.36,5,11.77,1:47.20,1,10.39,1:30.05,2,10.37,1:30.13
3,11.04,1:42.137,4,11.56,1:56.915,5,11.72,1:58.919,1,10.09,1:40.135,2,10.04,1:40.168
