PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME
1,6.64,6.64,2,6.73,6.73,3,6.83,6.83,4,6.92,6.92
2,9.16,15.80,1,8.98,15.71,3,9.00,15.83,4,8.94,15.86
3,8.71,24.51,1,8.55,24.26,4,22.69,38.52,2,8.57,24.43
2,8.53,33.04,1,8.47,32.73,4,10.02,48.54,3,17.90,42.33
0,,PEN,1,8.66,41.390,3,10.71,59.249,2,10.85,53.178
