Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Kirill SHASHIN POSITION,Kirill SHASHIN LAP TIME,Kirill SHASHIN ELAPSED TIME,Ales GORECKI POSITION,Ales GORECKI LAP TIME,Ales GORECKI ELAPSED TIME
1,6.87,6.87,3,7.25,7.25,2,7.11,7.11,4,7.41,7.41,5,7.53,7.53
1,9.24,16.11,2,9.13,16.38,3,9.32,16.43,4,9.19,16.60,5,9.38,16.91
1,8.91,25.02,2,8.65,25.03,3,8.86,25.29,4,8.74,25.34,5,8.96,25.87
2,9.09,34.11,1,8.97,34.00,4,9.35,34.64,3,8.98,34.32,5,9.34,35.21
2,9.29,43.400,1,9.28,43.271,4,9.52,44.156,3,9.30,43.616,5,9.50,44.703
