Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
2,9.671,9.671,3,9.903,9.903,1,9.603,9.603,4,9.957,9.957
1,13.537,23.208,3,13.645,23.548,2,13.840,23.443,4,13.629,23.586
1,13.170,36.377,4,13.309,36.856,2,13.060,36.502,3,13.082,36.667
1,12.897,49.273,4,12.763,49.618,2,12.959,49.460,3,12.865,49.532
1,12.488,1:01.761,4,12.499,1:02.116,2,12.370,1:01.830,3,12.436,1:01.968
1,11.471,1:13.231,4,11.448,1:13.564,2,11.429,1:13.259,3,11.506,1:13.473
2,11.040,1:24.270,4,10.868,1:24.432,1,10.934,1:24.192,3,10.934,1:24.407
3,9.815,1:34.085,4,9.852,1:34.284,1,9.778,1:33.970,2,9.637,1:34.044
3,9.694,1:43.779,4,9.557,1:43.840,1,9.641,1:43.610,2,9.688,1:43.732
4,10.072,1:53.850,2,9.605,1:53.445,1,9.749,1:53.359,3,9.721,1:53.452
4,9.152,2:03.002,1,9.313,2:02.758,2,9.449,2:02.807,3,9.471,2:02.922
4,9.189,2:12.191,1,9.082,2:11.839,3,9.300,2:12.107,2,9.072,2:11.994
4,9.084,2:21.275,1,8.998,2:20.837,3,9.137,2:21.244,2,8.880,2:20.874
3,9.01,2:30.281,1,8.98,2:29.808,4,9.05,2:30.292,2,9.02,2:29.885
