Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,JIN Sun-Yu POSITION,JIN Sun-Yu LAP TIME,JIN Sun-Yu ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME
4,13.887,13.887,2,13.645,13.645,1,13.629,13.629,3,13.720,13.720
3,9.903,23.790,2,10.035,23.679,4,10.192,23.821,1,9.735,23.455
3,9.857,33.646,2,9.869,33.548,4,9.835,33.656,1,9.909,33.364
3,9.829,43.474,4,10.098,43.646,2,9.709,43.365,1,9.956,43.319
3,9.843,53.317,4,9.761,53.406,2,9.671,53.035,1,9.580,52.898
4,9.700,1:03.016,2,9.376,1:02.782,3,9.800,1:02.834,1,9.771,1:02.669
4,9.593,1:12.609,1,9.359,1:12.141,2,9.533,1:12.367,3,9.755,1:12.423
4,9.989,1:22.598,1,9.619,1:21.759,2,9.784,1:22.150,3,10.132,1:22.555
3,9.63,1:32.220,1,9.75,1:31.504,2,9.89,1:32.033,4,10.65,1:33.197
