GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME
1,10.97,10.97,5,11.73,11.73,2,11.14,11.14,3,11.33,11.33,4,11.56,11.56,6,11.94,11.94
1,15.01,25.98,5,15.01,26.74,2,14.98,26.12,3,15.03,26.36,4,14.97,26.53,6,15.04,26.98
1,12.80,38.78,5,12.67,39.41,2,12.79,38.91,3,12.75,39.11,4,12.72,39.25,6,12.58,39.56
2,12.53,51.31,3,11.92,51.33,1,12.35,51.26,5,12.30,51.41,6,12.31,51.56,4,11.82,51.38
5,11.13,1:02.44,2,10.89,1:02.22,3,11.05,1:02.31,4,11.00,1:02.41,6,11.00,1:02.56,1,10.73,1:02.11
6,11.32,1:13.76,2,11.20,1:13.42,4,11.21,1:13.52,3,11.08,1:13.49,5,11.05,1:13.61,1,11.25,1:13.36
4,11.06,1:24.82,2,11.21,1:24.63,6,11.41,1:24.93,3,11.29,1:24.78,5,11.28,1:24.89,1,11.17,1:24.53
2,9.55,1:34.37,4,10.00,1:34.63,5,9.78,1:34.71,3,9.72,1:34.50,6,9.84,1:34.73,1,9.76,1:34.29
2,9.92,1:44.29,4,9.79,1:44.42,6,9.92,1:44.63,3,9.91,1:44.41,5,9.78,1:44.51,1,9.88,1:44.17
2,9.69,1:53.98,3,9.65,1:54.07,6,9.75,1:54.38,4,9.68,1:54.09,5,9.73,1:54.24,1,9.69,1:53.86
2,9.76,2:03.74,5,9.90,2:03.97,6,9.70,2:04.08,3,9.70,2:03.79,4,9.68,2:03.92,1,9.74,2:03.60
2,9.42,2:13.16,5,9.48,2:13.45,6,9.60,2:13.68,3,9.45,2:13.24,4,9.47,2:13.39,1,9.38,2:12.98
2,9.40,2:22.56,5,9.55,2:23.00,6,9.72,2:23.40,3,9.42,2:22.66,4,9.57,2:22.96,1,9.33,2:22.31
3,9.71,2:32.266,5,9.91,2:32.906,6,10.13,2:33.528,2,9.43,2:32.088,4,9.80,2:32.759,1,9.58,2:31.891
