ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,Artem KHMELIVSKYI POSITION,Artem KHMELIVSKYI LAP TIME,Artem KHMELIVSKYI ELAPSED TIME
1,7.01,7.01,2,7.20,7.20,4,7.42,,3,7.36,7.36,5,7.69,7.69
1,9.10,16.11,2,9.02,16.22,4,9.14,,3,9.16,16.52,5,9.34,17.03
2,8.90,25.01,1,8.73,24.95,3,8.79,,4,9.35,25.87,5,9.06,26.09
2,8.95,33.96,1,8.92,33.87,3,8.68,,4,9.05,34.92,5,9.07,35.16
2,9.01,42.97,1,8.97,42.84,3,9.00,,4,9.21,44.13,4,9.21,44.345
