Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME
2,7.33,7.33,1,7.16,7.16,4,8.08,8.08,3,7.35,7.35
3,9.52,16.85,1,9.42,16.58,4,10.54,18.62,2,9.42,16.77
3,9.59,26.44,1,9.04,25.62,4,10.00,28.62,2,9.08,25.85
3,9.37,35.81,1,9.20,34.82,4,10.23,38.85,2,9.30,35.15
3,9.82,45.630,1,9.59,44.402,4,10.66,49.510,2,9.61,44.756
