ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME
1,7.01,7.01,2,7.11,7.11,3,7.20,7.20,4,7.27,7.27,5,7.31,7.31
1,8.99,16.00,3,9.03,16.14,2,8.92,16.12,4,9.00,16.27,5,9.05,16.36
2,8.57,24.57,5,8.69,24.83,1,8.28,24.40,3,8.32,24.59,4,8.36,24.72
4,8.68,33.25,5,8.56,33.39,2,8.58,32.98,1,8.35,32.94,3,8.43,33.15
4,8.70,41.95,5,8.60,41.99,2,8.65,41.63,1,8.60,41.54,3,8.55,41.70
