DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME
4,15.44,15.44,2,14.97,14.97,3,15.30,15.30,1,14.67,14.67
4,9.66,25.10,2,9.85,24.82,3,9.72,25.02,1,9.89,24.56
4,9.28,34.38,2,9.29,34.11,3,9.26,34.28,1,9.33,33.89
4,9.18,43.56,2,9.20,43.31,3,9.20,43.48,1,9.19,43.08
4,9.11,52.67,3,9.33,52.64,2,9.10,52.58,1,9.24,52.32
3,9.32,1:01.99,4,9.56,1:02.20,2,9.33,1:01.91,1,9.39,1:01.71
2,9.18,1:11.17,4,9.70,1:11.90,1,9.17,1:11.08,3,9.75,1:11.46
2,9.33,1:20.50,4,10.03,1:21.93,1,9.34,1:20.42,3,9.87,1:21.33
2,8.98,1:29.48,4,10.52,1:32.45,1,8.95,1:29.37,3,10.16,1:31.49
