Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME
0,,,0,9.542,9.542,0,9.170,9.170,0,9.233,9.233,0,9.395,9.395,0,9.318,9.318
0,,21.821,0,12.437,21.978,0,12.568,21.738,0,12.416,21.648,0,,,0,12.539,21.857
0,10.864,32.684,0,10.742,32.720,0,11.052,32.790,0,10.797,32.445,0,,32.889,0,11.308,33.166
0,10.893,43.577,0,10.930,43.650,0,11.190,43.980,0,11.175,43.621,0,10.952,43.841,0,10.779,43.944
0,11.434,55.011,0,11.443,55.093,0,11.467,55.446,0,11.472,55.093,0,11.581,55.422,0,11.805,55.749
0,11.278,1:06.289,0,11.381,1:06.473,0,11.079,1:06.526,0,10.965,1:06.058,0,11.150,1:06.571,0,11.023,1:06.772
0,10.725,1:17.014,0,10.603,1:17.076,0,10.587,1:17.112,0,10.892,1:16.950,0,10.654,1:17.225,0,10.745,1:17.517
0,10.407,1:27.421,0,10.365,1:27.442,0,10.441,1:27.553,0,10.385,1:27.335,0,10.267,1:27.492,0,10.453,1:27.970
0,10.115,1:37.536,0,10.250,1:37.692,0,20.274,1:47.827,0,10.181,1:37.516,0,10.091,1:37.584,0,10.531,1:38.501
0,10.103,1:47.639,0,10.108,1:47.800,0,,,0,10.797,1:48.314,0,10.269,1:47.853,0,10.574,1:49.075
0,10.257,1:57.895,0,10.363,1:58.163,0,,1:57.888,0,10.136,1:58.450,0,10.195,1:58.048,0,10.590,1:59.664
0,10.033,2:07.928,0,30.259,2:28.422,0,10.145,2:08.033,0,9.854,2:08.304,0,10.127,2:08.175,0,10.883,2:10.547
0,10.312,2:18.240,0,31.143,2:59.565,0,10.218,2:18.251,0,11.027,2:19.331,0,10.329,2:18.504,0,11.050,2:21.598
0,,,0,,,0,,,0,,,0,,,0,,
