TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME
2,13.03,,3,13.14,13.14,4,13.29,13.29,1,13.00,13.00
2,10.38,,2,10.27,23.41,4,10.28,23.57,1,10.30,23.30
3,9.63,,2,9.54,32.95,4,9.57,33.14,1,9.54,32.84
3,9.47,,2,9.48,42.43,4,9.49,42.63,1,9.47,42.31
3,9.19,,2,9.19,51.62,4,9.19,51.82,1,9.18,51.49
3,8.89,,2,8.95,1:00.57,4,8.95,1:00.77,1,8.99,1:00.48
2,8.85,,4,9.26,1:09.83,3,8.80,1:09.57,1,8.83,1:09.31
2,8.65,,4,8.83,1:18.66,3,8.68,1:18.25,1,8.68,1:17.99
2,8.72,,3,9.26,1:27.923,2,8.74,1:26.988,1,8.75,1:26.739
