Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Michele ANTONIOLI POSITION,Michele ANTONIOLI LAP TIME,Michele ANTONIOLI ELAPSED TIME,WOJNOWSKI Mariusz POSITION,WOJNOWSKI Mariusz LAP TIME,WOJNOWSKI Mariusz ELAPSED TIME,Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,Dmitry VASILENKO POSITION,Dmitry VASILENKO LAP TIME,Dmitry VASILENKO ELAPSED TIME
3,8.710,8.710,2,8.600,8.600,4,8.803,8.803,5,8.840,8.840,1,8.524,8.524
1,10.820,19.529,4,11.207,19.807,3,10.990,19.793,5,11.117,19.957,2,11.034,19.557
2,11.829,31.357,4,11.804,31.611,3,11.760,31.553,5,11.885,31.841,1,11.709,31.266
2,11.947,43.304,3,11.819,43.430,4,12.090,43.642,5,12.051,43.892,1,11.862,43.128
3,10.129,53.433,2,9.990,53.419,4,10.165,53.807,5,10.114,54.006,1,10.187,53.314
2,9.981,1:03.414,3,10.193,1:03.612,4,9.926,1:03.733,5,9.956,1:03.961,1,10.046,1:03.359
1,10.081,1:13.494,3,10.036,1:13.647,5,10.175,1:13.907,4,9.939,1:13.900,2,10.185,1:13.543
1,10.407,1:23.900,3,10.367,1:24.014,5,10.378,1:24.285,4,10.362,1:24.262,2,10.424,1:23.966
1,10.517,1:34.417,3,10.508,1:34.522,5,10.509,1:34.793,4,10.447,1:34.708,2,10.458,1:34.424
2,10.308,1:44.724,3,10.330,1:44.851,5,10.402,1:45.195,4,10.411,1:45.118,1,10.275,1:44.699
2,10.207,1:54.931,1,9.958,1:54.808,5,10.342,1:55.537,4,10.113,1:55.231,3,10.375,1:55.073
2,9.957,2:04.887,1,10.058,2:04.866,5,10.333,2:05.869,3,9.791,2:05.021,4,10.293,2:05.366
2,10.302,2:15.188,1,10.215,2:15.080,5,10.593,2:16.462,3,10.341,2:15.362,4,10.643,2:16.008
3,10.70,2:25.887,2,10.75,2:25.821,5,11.19,2:27.652,1,10.38,2:25.735,4,10.72,2:26.726
