Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,Xeniya MOTOVA POSITION,Xeniya MOTOVA LAP TIME,Xeniya MOTOVA ELAPSED TIME
3,13.38,13.38,1,13.31,13.31,2,13.32,13.32,4,13.60,13.60
3,10.04,23.42,1,9.91,23.22,2,9.98,23.30,4,10.05,23.65
1,9.77,33.19,2,10.14,33.36,3,10.22,33.52,4,10.00,33.65
1,10.03,43.22,2,9.92,43.28,3,9.89,43.41,4,9.91,43.56
2,10.06,53.28,1,9.99,53.27,3,10.01,53.42,4,9.99,53.55
2,10.12,1:03.40,1,10.01,1:03.28,3,10.13,1:03.55,4,10.15,1:03.70
2,10.05,1:13.45,1,10.15,1:13.43,3,10.09,1:13.64,4,10.11,1:13.81
1,10.11,1:23.56,2,10.21,1:23.64,3,10.18,1:23.82,4,10.19,1:24.00
1,10.25,1:33.808,2,10.31,1:33.947,3,10.37,1:34.185,4,10.64,1:34.632
