FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,Tom RIETZKE POSITION,Tom RIETZKE LAP TIME,Tom RIETZKE ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME
2,7.25,7.25,5,7.98,7.98,3,7.38,,1,6.89,6.89,4,7.54,7.54
5,24.63,31.88,4,9.71,17.69,3,9.41,,1,8.85,15.74,2,9.20,16.74
5,19.21,51.09,4,8.90,26.59,3,9.02,,1,8.48,24.22,2,9.02,25.76
5,11.02,1:02.11,4,9.20,35.79,2,8.91,,1,8.62,32.84,3,9.33,35.09
5,10.28,1:12.39,4,9.32,45.11,2,9.00,,1,8.71,41.55,3,9.47,44.56
