Emil IMRE POSITION,Emil IMRE LAP TIME,Emil IMRE ELAPSED TIME,Jamie SUTTON POSITION,Jamie SUTTON LAP TIME,Jamie SUTTON ELAPSED TIME,Jonas KAUFMANN-LUDWIG POSITION,Jonas KAUFMANN-LUDWIG LAP TIME,Jonas KAUFMANN-LUDWIG ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,James RODOWSKY POSITION,James RODOWSKY LAP TIME,James RODOWSKY ELAPSED TIME,Alexandre ST JEAN POSITION,Alexandre ST JEAN LAP TIME,Alexandre ST JEAN ELAPSED TIME
1,9.86,9.86,6,10.22,10.22,4,10.09,10.09,5,10.22,10.22,2,9.94,9.94,3,9.95,9.95
4,13.13,22.99,6,12.88,23.10,2,12.76,22.85,5,12.86,23.08,1,12.89,22.83,3,12.90,22.85
4,11.73,34.72,5,11.81,34.91,2,11.76,34.61,6,11.84,34.92,1,11.67,34.50,3,11.86,34.71
3,11.44,46.16,6,11.57,46.48,4,11.55,46.16,5,11.40,46.32,1,11.46,45.96,2,11.36,46.07
4,11.10,57.26,6,11.07,57.55,3,10.98,57.14,5,11.05,57.37,1,10.97,56.93,2,10.97,57.04
4,11.01,1:08.27,6,11.06,1:08.61,3,11.00,1:08.14,5,11.02,1:08.39,2,11.06,1:07.99,1,10.94,1:07.98
4,11.16,1:19.43,6,11.24,1:19.85,3,11.21,1:19.35,5,11.17,1:19.56,2,11.29,1:19.28,1,11.18,1:19.16
5,10.78,1:30.21,6,10.94,1:30.79,4,10.74,1:30.09,1,10.29,1:29.85,3,10.80,1:30.08,2,10.78,1:29.94
5,10.51,1:40.72,6,11.21,1:42.00,4,10.45,1:40.54,2,10.46,1:40.31,3,10.33,1:40.41,1,10.33,1:40.27
5,10.35,1:51.07,6,11.57,1:53.57,4,10.43,1:50.97,3,10.16,1:50.47,1,9.83,1:50.24,2,10.08,1:50.35
4,10.30,2:01.37,6,11.66,2:05.23,5,10.57,2:01.54,3,9.62,2:00.09,1,9.62,1:59.86,2,9.54,1:59.89
4,10.46,2:11.83,6,12.18,2:17.41,5,11.41,2:12.95,2,9.90,2:09.99,3,10.27,2:10.13,1,9.94,2:09.83
4,10.94,2:22.77,6,13.40,2:30.81,5,11.87,2:24.82,2,10.08,2:20.07,3,10.41,2:20.54,1,10.11,2:19.94
4,11.46,2:34.222,6,12.50,2:43.303,5,12.66,2:37.472,2,10.68,2:30.750,3,11.19,2:31.723,1,10.57,2:30.502
