Maria ORLOVA POSITION,Maria ORLOVA LAP TIME,Maria ORLOVA ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME
3,9.10,9.10,1,9.01,9.01,6,9.45,9.45,5,9.32,9.32,4,9.27,9.27,2,9.10,9.10
2,12.25,21.35,5,12.45,21.46,4,11.97,21.42,6,12.19,21.51,3,12.15,21.42,1,12.16,21.26
3,11.47,32.82,4,11.46,32.92,5,11.62,33.04,6,11.69,33.20,1,11.15,32.57,2,11.46,32.72
2,11.10,43.92,1,10.88,43.80,5,11.19,44.23,6,11.19,44.39,3,11.50,44.07,4,11.45,44.17
3,11.27,55.19,2,11.29,55.09,5,11.14,55.37,6,11.02,55.41,1,10.93,55.00,4,11.09,55.26
3,11.49,1:06.68,2,11.47,1:06.56,5,11.44,1:06.81,6,11.55,1:06.96,1,11.46,1:06.46,4,11.43,1:06.69
4,10.68,1:17.36,3,10.70,1:17.26,5,10.65,1:17.46,6,10.67,1:17.63,2,10.65,1:17.11,1,10.41,1:17.10
4,10.60,1:27.96,3,10.60,1:27.86,5,10.60,1:28.06,6,10.58,1:28.21,1,10.54,1:27.65,2,10.64,1:27.74
3,10.26,1:38.22,2,10.35,1:38.21,5,10.35,1:38.41,6,10.32,1:38.53,1,10.48,1:38.13,4,10.63,1:38.37
3,9.83,1:48.05,2,9.71,1:47.92,4,9.72,1:48.13,6,10.41,1:48.94,1,9.66,1:47.79,5,10.09,1:48.46
3,9.81,1:57.86,2,9.82,1:57.74,4,9.82,1:57.95,6,10.91,1:59.85,1,9.87,1:57.66,5,9.82,1:58.28
4,10.05,2:07.91,2,9.93,2:07.67,3,9.83,2:07.78,6,11.61,2:11.46,1,9.88,2:07.54,5,10.00,2:08.28
4,10.00,2:17.91,2,10.01,2:17.68,3,9.95,2:17.73,6,12.17,2:23.63,1,10.05,2:17.59,5,10.42,2:18.70
3,10.10,2:28.005,0,,PEN,1,10.09,2:27.813,5,13.00,2:36.629,2,10.24,2:27.821,4,11.38,2:30.074
