WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,YANG Jin POSITION,YANG Jin LAP TIME,YANG Jin ELAPSED TIME
3,8.41,8.41,1,8.15,8.15,5,8.63,8.63,4,8.53,8.53,2,8.26,8.26,6,8.67,8.67
3,11.82,20.23,1,11.85,20.00,5,11.85,20.48,4,11.80,20.33,2,11.84,20.10,6,11.92,20.59
4,10.79,31.02,1,10.81,30.81,5,10.67,31.15,3,10.63,30.96,2,10.82,30.92,6,10.63,31.22
4,9.82,40.84,2,9.88,40.69,5,9.83,40.98,1,9.65,40.61,3,9.83,40.75,6,9.84,41.06
4,9.78,50.62,1,9.72,50.41,5,9.77,50.75,2,9.82,50.43,3,9.76,50.51,6,9.78,50.84
4,9.57,1:00.19,1,9.52,59.93,6,9.62,1:00.37,2,9.58,1:00.01,3,9.57,1:00.08,5,9.43,1:00.27
4,9.40,1:09.59,3,9.53,1:09.46,6,9.52,1:09.89,1,9.36,1:09.37,2,9.38,1:09.46,5,9.48,1:09.75
4,9.32,1:18.91,3,9.36,1:18.82,6,9.21,1:19.10,1,9.29,1:18.66,2,9.26,1:18.72,5,9.25,1:19.00
5,9.43,1:28.34,3,9.33,1:28.15,6,9.34,1:28.44,1,9.31,1:27.97,2,9.32,1:28.04,4,9.24,1:28.24
5,9.24,1:37.58,2,9.13,1:37.28,6,9.26,1:37.70,1,9.23,1:37.20,3,9.31,1:37.35,4,9.21,1:37.45
6,9.43,1:47.01,2,9.20,1:46.48,5,9.23,1:46.93,1,9.17,1:46.37,4,9.53,1:46.88,3,9.36,1:46.81
4,9.61,1:56.62,2,9.28,1:55.76,5,9.82,1:56.75,1,9.30,1:55.67,6,10.31,1:57.19,3,9.68,1:56.49
3,9.73,2:06.35,2,9.45,2:05.21,4,9.69,2:06.44,1,9.44,2:05.11,6,10.04,2:07.23,5,9.97,2:06.46
4,10.06,2:16.410,2,9.76,2:14.970,3,9.89,2:16.331,1,9.58,2:14.681,0,,PEN,5,10.21,2:16.663
