Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME
1,12.34,12.34,3,12.53,12.53,2,12.44,12.44,4,12.62,12.62,5,12.73,12.73
1,10.16,22.50,2,9.98,22.51,3,10.18,22.62,4,10.02,22.64,5,10.05,22.78
2,9.58,32.08,1,9.45,31.96,4,9.69,32.31,3,9.52,32.16,5,9.55,32.33
1,9.33,41.41,2,9.45,41.41,4,9.24,41.55,3,9.38,41.54,5,9.45,41.78
1,9.46,50.87,2,9.53,50.94,3,9.47,51.02,4,9.56,51.10,5,9.42,51.20
1,9.35,1:00.22,2,9.34,1:00.28,3,9.37,1:00.39,4,9.42,1:00.52,5,9.54,1:00.74
1,9.29,1:09.51,3,9.32,1:09.60,2,9.20,1:09.59,4,9.23,1:09.75,5,9.51,1:10.25
2,9.38,1:18.89,4,9.54,1:19.14,1,9.25,1:18.84,3,9.36,1:19.11,5,9.75,1:20.00
2,9.39,1:28.279,4,9.86,1:28.991,1,9.35,1:28.190,3,9.20,1:28.301,5,9.90,1:29.896
