Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,Dmitry VASILENKO POSITION,Dmitry VASILENKO LAP TIME,Dmitry VASILENKO ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME
4,14.876,14.876,3,14.543,14.543,1,14.494,14.494,2,14.539,14.539
4,10.362,25.237,1,10.139,24.681,3,10.637,25.131,2,10.403,24.941
4,10.196,35.432,1,10.542,35.222,2,10.212,35.342,3,10.413,35.353
1,9.361,44.793,2,9.671,44.893,4,9.573,44.915,3,9.557,44.909
1,9.388,54.180,4,15.661,1:00.554,2,9.441,54.355,3,9.532,54.441
1,9.194,1:03.374,4,20.491,1:21.045,3,9.319,1:03.673,2,9.152,1:03.593
3,9.526,1:12.899,4,12.430,1:33.474,2,9.155,1:12.827,1,9.131,1:12.723
1,8.798,1:21.697,4,11.371,1:44.845,3,9.273,1:22.100,2,9.207,1:21.929
1,9.46,1:31.153,3,12.51,1:57.349,2,9.18,1:31.278,0,,DQ
