HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,Aleksandr KOVAL POSITION,Aleksandr KOVAL LAP TIME,Aleksandr KOVAL ELAPSED TIME
2,16.93,16.93,4,17.22,17.22,3,17.06,17.06,1,16.76,16.76
2,13.22,30.15,4,13.16,30.38,3,13.20,30.26,1,13.25,30.01
2,11.80,41.95,4,11.70,42.08,3,11.70,41.96,1,11.88,41.89
2,10.73,52.68,3,10.70,52.78,4,10.89,52.85,1,10.72,52.61
2,10.39,1:03.07,3,10.39,1:03.17,4,10.39,1:03.24,1,10.34,1:02.95
2,9.73,1:12.80,3,9.64,1:12.81,4,9.65,1:12.89,1,9.75,1:12.70
2,9.25,1:22.05,3,9.45,1:22.26,4,9.45,1:22.34,1,9.25,1:21.95
1,8.93,1:30.98,3,9.02,1:31.28,4,9.15,1:31.49,2,9.08,1:31.03
1,9.12,1:40.093,3,9.09,1:40.370,4,9.15,1:40.632,2,9.27,1:40.298
