KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME
1,13.69,13.69,2,13.80,13.80,3,13.94,13.94,4,14.10,14.10
1,11.03,24.72,2,11.07,24.87,4,11.04,24.98,3,10.82,24.92
2,10.65,35.37,3,10.63,35.50,4,10.64,35.62,1,10.29,35.21
2,9.79,45.16,3,9.73,45.23,4,9.69,45.31,1,9.87,45.08
2,9.85,55.01,3,9.90,55.13,4,9.90,55.21,1,9.80,54.88
2,9.93,1:04.94,3,9.95,1:05.08,4,9.97,1:05.18,1,9.95,1:04.83
1,9.41,1:14.35,3,9.47,1:14.55,4,9.50,1:14.68,2,9.63,1:14.46
2,9.74,1:24.09,3,9.66,1:24.21,4,9.63,1:24.31,1,9.47,1:23.93
1,9.65,1:33.74,3,9.76,1:33.97,4,9.74,1:34.05,2,9.94,1:33.87
1,9.41,1:43.15,3,9.36,1:43.33,4,9.34,1:43.39,2,9.37,1:43.24
1,9.40,1:52.55,3,9.49,1:52.82,4,9.53,1:52.92,2,9.44,1:52.68
1,9.72,2:02.27,3,9.71,2:02.53,4,9.74,2:02.66,2,9.70,2:02.38
1,9.41,2:11.68,3,9.37,2:11.90,4,9.28,2:11.94,2,9.45,2:11.83
1,9.34,2:21.02,3,9.30,2:21.20,4,9.36,2:21.30,2,9.27,2:21.10
1,9.68,2:30.70,4,9.81,2:31.01,3,9.59,2:30.89,2,9.70,2:30.80
1,9.42,2:40.12,4,9.44,2:40.45,3,9.41,2:40.30,2,9.41,2:40.21
1,9.16,2:49.28,4,9.14,2:49.59,3,9.22,2:49.52,2,9.19,2:49.40
2,9.36,2:58.64,4,9.31,2:58.90,3,9.26,2:58.78,1,9.15,2:58.55
1,8.93,3:07.57,4,8.92,3:07.82,3,8.96,3:07.74,1,9.02,3:07.57
1,8.78,3:16.35,3,8.70,3:16.52,4,8.91,3:16.65,2,8.85,3:16.42
1,9.28,3:25.63,2,9.12,3:25.64,3,9.12,3:25.77,3,9.35,3:25.77
1,8.76,3:34.39,2,8.87,3:34.51,3,8.89,3:34.66,4,9.00,3:34.77
1,8.84,3:43.23,2,8.80,3:43.31,3,8.90,3:43.56,4,8.90,3:43.67
1,8.92,3:52.15,2,9.03,3:52.34,3,8.90,3:52.46,4,8.93,3:52.60
1,8.70,4:00.85,2,8.63,4:00.97,3,8.68,4:01.14,4,8.76,4:01.36
1,8.87,4:09.72,2,8.83,4:09.80,3,8.77,4:09.91,4,8.71,4:10.07
1,9.07,4:18.79,2,9.08,4:18.88,3,9.04,4:18.95,4,9.02,4:19.09
1,8.62,4:27.41,2,8.65,4:27.53,3,8.68,4:27.63,4,8.63,4:27.72
1,8.52,4:35.93,2,8.55,4:36.08,3,8.57,4:36.20,4,8.67,4:36.39
1,8.41,4:44.34,2,8.35,4:44.43,3,8.42,4:44.62,4,8.49,4:44.88
1,8.54,4:52.88,2,8.63,4:53.06,3,8.54,4:53.16,4,8.63,4:53.51
1,8.64,5:01.52,2,8.62,5:01.68,3,8.67,5:01.83,4,8.49,5:02.00
1,8.74,5:10.26,2,8.67,5:10.35,3,8.61,5:10.44,4,8.55,5:10.55
2,8.74,5:19.00,1,8.53,5:18.88,4,8.79,5:19.23,3,8.54,5:19.09
2,8.64,5:27.64,1,8.66,5:27.54,4,8.68,5:27.91,3,8.73,5:27.82
2,8.46,5:36.10,1,8.38,5:35.92,4,8.56,5:36.47,3,8.47,5:36.29
2,8.27,5:44.37,1,8.38,5:44.30,4,8.58,5:45.05,3,8.47,5:44.76
1,8.64,5:53.01,2,8.82,5:53.12,4,8.47,5:53.52,3,8.55,5:53.31
1,8.75,6:01.76,2,8.72,6:01.84,4,8.47,6:01.99,3,8.62,6:01.93
1,8.54,6:10.30,2,8.59,6:10.43,3,8.61,6:10.60,4,8.76,6:10.69
1,8.63,6:18.93,2,8.67,6:19.10,3,8.61,6:19.21,4,8.74,6:19.43
1,8.48,6:27.41,2,8.52,6:27.62,3,8.48,6:27.69,4,8.62,6:28.05
1,8.32,6:35.73,2,8.36,6:35.98,3,8.54,6:36.23,4,8.56,6:36.61
1,8.38,6:44.11,2,8.35,6:44.33,3,8.41,6:44.64,4,8.54,6:45.15
0,8.47,6:52.58,0,8.24,6:52.57,3,8.48,6:53.12,4,9.02,6:54.17
