Soo An YOO POSITION,Soo An YOO LAP TIME,Soo An YOO ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Yonaton Spencer SUBIN POSITION,Yonaton Spencer SUBIN LAP TIME,Yonaton Spencer SUBIN ELAPSED TIME,HAN Seung Soo POSITION,HAN Seung Soo LAP TIME,HAN Seung Soo ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
3,7.35,7.35,1,7.26,7.26,5,7.79,7.79,2,7.29,7.29,4,7.48,7.48
3,9.31,16.66,1,8.99,16.25,5,9.83,17.62,2,9.07,16.36,4,9.39,16.87
3,8.70,25.36,1,8.60,24.85,5,9.74,27.36,2,8.52,24.88,4,8.49,25.36
4,8.93,34.29,2,8.70,33.55,5,9.87,37.23,1,8.60,33.48,3,8.72,34.08
4,9.14,43.421,2,8.85,42.397,5,10.26,47.487,1,8.83,42.306,3,8.88,42.959
