GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME
3,15.05,15.05,2,15.04,15.04,1,14.90,14.90,4,15.24,15.24
1,11.54,26.59,3,11.85,26.89,2,11.86,26.76,4,11.75,26.99
1,11.31,37.90,3,11.15,38.04,2,11.26,38.02,4,11.22,38.21
1,10.46,48.36,3,10.50,48.54,2,10.38,48.40,4,10.47,48.68
1,9.81,58.17,3,9.83,58.37,2,9.84,58.24,4,9.80,58.48
1,9.73,1:07.90,3,9.78,1:08.15,2,9.71,1:07.95,4,9.71,1:08.19
2,9.79,1:17.69,3,9.66,1:17.81,1,9.60,1:17.55,4,9.69,1:17.88
2,9.49,1:27.18,3,9.46,1:27.27,1,9.54,1:27.09,4,9.44,1:27.32
2,9.67,1:36.844,3,9.75,1:37.019,1,9.68,1:36.766,4,10.27,1:37.588
