VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME
1,7.55,7.55,2,7.63,7.63,3,7.75,7.75,4,7.84,7.84,5,7.95,7.95
1,9.88,17.43,2,9.88,17.51,4,9.88,17.63,3,9.78,17.62,5,9.82,17.77
5,28.01,45.44,1,9.56,27.07,2,9.52,27.15,3,9.59,27.21,4,9.57,27.34
5,23.91,1:09.35,1,9.62,36.69,3,9.92,37.07,2,9.58,36.79,4,9.83,37.17
4,16.12,1:25.462,0,,PEN,2,9.97,47.031,1,9.67,46.455,3,9.93,47.095
