Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
2,12.69,12.69,1,12.59,12.59,4,12.89,12.89,3,12.78,12.78
1,10.13,22.82,2,10.31,22.90,4,10.26,23.15,3,10.23,23.01
1,9.80,32.62,3,9.81,32.71,4,9.74,32.89,2,9.67,32.68
3,9.65,42.27,1,9.48,42.19,4,9.52,42.41,2,9.51,42.19
3,9.51,51.78,1,9.47,51.66,4,9.50,51.91,2,9.47,51.66
3,9.71,1:01.49,2,9.74,1:01.40,4,9.68,1:01.59,1,9.65,1:01.31
3,9.45,1:10.94,2,9.52,1:10.92,4,9.53,1:11.12,1,9.53,1:10.84
2,9.48,1:20.42,3,9.62,1:20.54,4,9.55,1:20.67,1,9.50,1:20.34
2,9.73,1:30.151,3,9.73,1:30.266,4,9.71,1:30.372,1,9.72,1:30.058
