LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Ivan BELOV POSITION,Ivan BELOV LAP TIME,Ivan BELOV ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME
2,7.105,7.105,1,7.098,7.098,3,7.244,7.244,4,7.436,7.436
1,9.318,16.423,3,9.578,16.676,2,9.374,16.618,4,9.499,16.935
1,9.110,25.532,3,9.307,25.982,2,9.010,25.628,4,9.171,26.105
1,9.159,34.691,4,9.376,35.358,2,9.179,34.806,3,9.235,35.339
1,9.53,44.220,0,,DQ,2,9.43,44.234,3,10.05,45.389
