Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,JEON da-Hye POSITION,JEON da-Hye LAP TIME,JEON da-Hye ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
2,7.52,7.52,1,7.50,7.50,3,7.73,7.73,4,7.87,7.87
2,9.98,17.50,1,9.81,17.31,3,9.85,17.58,4,9.89,17.76
2,9.44,26.94,1,9.39,26.70,3,9.38,26.96,4,9.47,27.23
3,9.72,36.66,1,9.49,36.19,2,9.49,36.45,4,9.64,36.87
3,10.05,46.707,1,9.87,46.059,2,9.68,46.122,4,9.95,46.811
