DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Ryan McANUFF POSITION,Ryan McANUFF LAP TIME,Ryan McANUFF ELAPSED TIME
5,11.90,11.90,2,11.50,11.50,6,12.11,12.11,4,11.70,11.70,3,11.67,11.67,1,11.02,11.02
4,13.32,25.22,2,13.52,25.02,6,13.36,25.47,5,13.63,25.33,3,13.45,25.12,1,13.80,24.82
4,12.83,38.05,2,12.81,37.83,6,12.84,38.31,5,12.80,38.13,3,12.82,37.94,1,12.90,37.72
4,12.73,50.78,2,12.75,50.58,6,12.67,50.98,5,12.72,50.85,3,12.75,50.69,1,12.67,50.39
2,11.84,1:02.62,1,11.93,1:02.51,6,12.03,1:03.01,5,11.99,1:02.84,4,12.01,1:02.70,2,12.23,1:02.62
1,11.13,1:13.75,2,11.35,1:13.86,6,11.21,1:14.22,4,11.18,1:14.02,3,11.24,1:13.94,5,11.42,1:14.04
1,10.97,1:24.72,3,10.96,1:24.82,2,10.55,1:24.77,5,11.04,1:25.06,4,10.99,1:24.93,6,11.17,1:25.21
3,9.79,1:34.51,2,9.61,1:34.43,1,9.52,1:34.29,5,9.69,1:34.75,4,9.67,1:34.60,6,9.67,1:34.88
3,9.52,1:44.03,2,9.42,1:43.85,1,9.55,1:43.84,5,9.55,1:44.30,4,9.56,1:44.16,6,9.53,1:44.41
2,9.04,1:53.07,1,9.06,1:52.91,3,9.41,1:53.25,5,9.12,1:53.42,4,9.14,1:53.30,6,9.19,1:53.60
2,8.87,2:01.94,1,8.91,2:01.82,5,9.38,2:02.63,4,8.91,2:02.33,3,8.84,2:02.14,6,9.14,2:02.74
2,8.82,2:10.76,1,8.83,2:10.65,5,9.24,2:11.87,4,8.76,2:11.09,3,8.75,2:10.89,6,9.25,2:11.99
2,8.92,2:19.68,1,8.85,2:19.50,6,9.56,2:21.43,4,8.80,2:19.89,3,8.89,2:19.78,5,9.40,2:21.39
2,9.11,2:28.79,1,9.02,2:28.52,6,10.28,2:31.71,3,9.01,2:28.90,4,10.36,2:30.14,5,9.62,2:31.01
