Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
1,8.52,8.52,2,8.71,8.71,3,8.96,8.96,5,9.33,9.33,4,9.16,9.16
1,12.00,20.52,2,12.00,20.71,3,11.85,20.81,5,11.79,21.12,4,11.85,21.01
1,11.26,31.78,2,11.14,31.85,3,11.18,31.99,5,11.23,32.35,4,11.26,32.27
1,10.68,42.46,2,10.75,42.60,3,10.64,42.63,5,10.66,43.01,4,10.54,42.81
1,9.98,52.44,2,9.98,52.58,3,10.05,52.68,5,10.00,53.01,4,9.97,52.78
1,9.85,1:02.29,2,9.71,1:02.29,3,9.88,1:02.56,5,9.94,1:02.95,4,9.95,1:02.73
3,10.00,1:12.29,2,9.97,1:12.26,1,9.63,1:12.19,5,9.67,1:12.62,4,9.65,1:12.38
4,9.83,1:22.12,2,9.75,1:22.01,1,9.68,1:21.87,5,9.92,1:22.54,3,9.74,1:22.12
4,9.97,1:32.09,2,9.85,1:31.86,1,9.89,1:31.76,5,9.56,1:32.10,3,9.85,1:31.97
4,9.70,1:41.79,2,9.70,1:41.56,3,10.00,1:41.76,5,9.83,1:41.93,1,9.48,1:41.45
3,9.51,1:51.30,2,9.65,1:51.21,5,10.11,1:51.87,4,9.41,1:51.34,1,9.58,1:51.03
3,9.78,2:01.08,2,9.73,2:00.94,5,11.35,2:03.22,4,9.83,2:01.17,1,9.74,2:00.77
2,9.77,2:10.85,4,10.44,2:11.38,5,12.61,2:15.83,3,9.74,2:10.91,1,9.90,2:10.67
3,10.17,2:21.013,4,11.00,2:22.378,5,13.76,2:29.585,2,9.97,2:20.876,1,10.17,2:20.840
