WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,June Liang LIM POSITION,June Liang LIM LAP TIME,June Liang LIM ELAPSED TIME
1,6.93,6.93,2,7.14,7.14,3,7.32,7.32,4,8.01,8.01
1,8.81,15.74,2,9.02,16.16,3,9.04,16.36,4,11.15,19.16
1,8.65,24.39,2,8.53,24.69,3,8.46,24.82,4,10.69,29.85
1,8.82,33.21,2,8.63,33.32,3,8.64,33.46,4,10.90,40.75
2,8.93,42.136,1,8.80,42.117,3,8.80,42.255,4,11.12,51.870
