HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Matus MICHALIK POSITION,Matus MICHALIK LAP TIME,Matus MICHALIK ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME
3,15.806,15.806,4,15.942,15.942,2,15.649,15.649,5,16.553,16.553,1,15.468,15.468
4,12.339,28.144,5,12.434,28.376,3,12.406,28.054,2,11.356,27.909,1,12.252,27.719
3,12.165,40.309,4,12.217,40.593,2,12.041,40.095,5,21.467,49.375,1,12.127,39.845
3,11.320,51.629,4,11.041,51.633,2,11.406,51.500,5,16.134,1:05.509,1,11.409,51.254
3,10.386,1:02.014,4,10.445,1:02.078,2,10.188,1:01.688,5,10.720,1:16.228,1,10.421,1:01.675
1,9.146,1:11.160,4,9.577,1:11.655,3,9.862,1:11.549,5,10.410,1:26.638,2,9.788,1:11.462
1,9.204,1:20.364,2,9.033,1:20.687,4,9.418,1:20.967,5,10.312,1:36.949,3,9.479,1:20.941
1,9.211,1:29.575,2,9.123,1:29.809,4,9.650,1:30.616,5,10.554,1:47.503,3,9.647,1:30.588
1,9.53,1:39.103,2,9.95,1:39.756,3,9.84,1:40.448,5,11.18,1:58.674,4,10.36,1:40.942
