Anton SIMON POSITION,Anton SIMON LAP TIME,Anton SIMON ELAPSED TIME,CHO Nam-Kyu POSITION,CHO Nam-Kyu LAP TIME,CHO Nam-Kyu ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME,JOHNSON Alex POSITION,JOHNSON Alex LAP TIME,JOHNSON Alex ELAPSED TIME,Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME,VOSKRESENSKIY Mikhail POSITION,VOSKRESENSKIY Mikhail LAP TIME,VOSKRESENSKIY Mikhail ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME
0,14.080,14.080,0,13.842,13.842,0,11.649,11.649,0,13.819,13.819,0,14.646,14.646,0,14.651,14.651,0,14.694,14.694,0,14.711,14.711
0,11.834,25.914,0,11.671,25.513,0,9.242,20.891,0,11.718,25.537,0,11.352,25.999,0,11.253,25.904,0,11.220,25.915,0,11.925,26.636
0,12.445,38.359,0,12.909,38.422,0,9.218,30.108,0,12.834,38.371,0,12.194,38.193,0,12.338,38.242,0,12.316,38.230,0,11.696,38.332
0,11.753,50.112,0,11.723,50.145,0,9.311,39.419,0,11.861,50.232,0,11.197,49.390,0,11.873,50.115,0,11.149,49.379,0,11.482,49.814
0,11.740,1:01.852,0,11.511,1:01.656,0,11.019,50.437,0,11.790,1:02.022,0,12.150,1:01.540,0,12.428,1:02.543,0,12.036,1:01.416,0,11.746,1:01.560
0,13.075,1:14.927,0,13.734,1:15.390,0,11.415,1:01.852,0,13.280,1:15.301,0,14.262,1:15.801,0,12.306,1:14.848,0,14.101,1:15.516,0,13.547,1:15.106
0,13.013,1:27.940,0,13.166,1:28.556,0,13.798,1:15.650,0,12.765,1:28.066,0,13.041,1:28.843,0,12.988,1:27.836,0,13.055,1:28.571,0,13.099,1:28.205
0,13.496,1:41.436,0,13.393,1:41.949,0,13.192,1:28.842,0,13.412,1:41.478,0,13.548,1:42.391,0,14.282,1:42.118,0,13.557,1:42.128,0,6.166,1:34.371
0,14.100,1:55.536,0,13.765,1:55.714,0,13.412,1:42.254,0,14.102,1:55.580,0,13.888,1:56.279,0,13.873,1:55.991,0,13.748,1:55.876,0,21.390,1:55.761
0,12.258,2:07.794,0,11.820,2:07.534,0,13.887,1:56.141,0,9.443,2:05.022,0,11.496,2:07.774,0,11.813,2:07.803,0,11.683,2:07.559,0,11.706,2:07.467
