Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME
3,17.07,17.07,2,16.96,16.96,1,16.83,16.83,4,17.40,17.40
3,12.03,29.10,2,12.01,28.97,1,12.03,28.86,4,12.18,29.58
2,10.90,40.00,3,11.04,40.01,1,11.06,39.92,4,10.71,40.29
1,10.00,50.00,3,10.21,50.22,2,10.16,50.08,4,10.25,50.54
1,9.85,59.85,3,9.83,1:00.05,2,9.87,59.95,4,9.76,1:00.30
1,9.92,1:09.77,3,9.91,1:09.96,2,9.92,1:09.87,4,9.88,1:10.18
1,9.90,1:19.67,4,9.88,1:19.84,3,9.89,1:19.76,2,9.57,1:19.75
2,9.72,1:29.39,4,9.83,1:29.67,3,9.69,1:29.45,1,9.31,1:29.06
2,9.61,1:38.995,4,9.96,1:39.630,3,9.70,1:39.149,1,9.69,1:38.749
