Kyle UYEHARA POSITION,Kyle UYEHARA LAP TIME,Kyle UYEHARA ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,7.07,7.07,4,7.18,7.18,2,7.14,7.14,5,7.27,7.27,3,7.16,7.16
5,16.56,23.63,2,9.80,16.98,4,15.07,22.21,1,9.60,16.87,3,15.02,22.18
5,9.50,33.13,2,8.74,25.72,3,9.00,31.21,1,8.75,25.62,4,9.49,31.67
5,9.40,42.53,2,8.77,34.49,3,8.96,40.17,1,8.85,34.47,4,9.23,40.90
5,9.95,52.477,1,9.21,43.697,3,9.37,49.531,2,9.35,43.820,4,9.49,50.386
