LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME,Adrian RUDY POSITION,Adrian RUDY LAP TIME,Adrian RUDY ELAPSED TIME,Shuta MATSUZU POSITION,Shuta MATSUZU LAP TIME,Shuta MATSUZU ELAPSED TIME,MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,Guillian van WAASDIJK POSITION,Guillian van WAASDIJK LAP TIME,Guillian van WAASDIJK ELAPSED TIME
1,13.95,13.95,2,14.08,14.08,4,14.31,14.31,3,14.18,14.18,5,14.36,14.36
2,10.53,24.48,3,10.43,24.51,5,10.33,24.64,1,10.21,24.39,4,10.19,24.55
3,9.86,34.34,1,9.49,34.00,4,9.81,34.45,2,9.81,34.20,5,9.99,34.54
3,9.18,43.52,1,9.28,43.28,4,9.21,43.66,2,9.22,43.42,5,9.22,43.76
2,8.99,52.51,1,9.16,52.44,4,9.00,52.66,3,9.13,52.55,5,8.98,52.74
1,8.88,1:01.39,2,9.11,1:01.55,4,9.01,1:01.67,3,9.08,1:01.63,5,9.19,1:01.93
1,9.06,1:10.45,2,9.01,1:10.56,3,9.08,1:10.75,4,9.25,1:10.88,5,9.56,1:11.49
1,9.13,1:19.58,2,9.17,1:19.73,3,9.12,1:19.87,4,9.26,1:20.14,5,9.88,1:21.37
1,9.11,1:28.69,2,9.27,1:29.00,3,9.38,1:29.25,4,9.52,1:29.652,5,10.36,1:31.697
