PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Daniel ZASTRUGOV POSITION,Daniel ZASTRUGOV LAP TIME,Daniel ZASTRUGOV ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME
2,10.52,10.52,3,10.62,10.62,6,11.02,11.02,5,10.92,10.92,4,10.79,10.79,1,10.31,10.31
2,12.93,23.45,3,12.92,23.54,6,12.85,23.87,5,12.83,23.75,4,12.87,23.66,1,13.01,23.32
2,12.31,35.76,3,12.32,35.86,6,12.32,36.19,5,12.28,36.03,4,12.34,36.00,1,12.29,35.61
4,10.58,46.34,3,10.47,46.33,6,10.56,46.75,1,10.17,46.20,5,10.61,46.61,2,10.68,46.29
4,9.87,56.21,1,9.62,55.95,6,9.73,56.48,2,9.82,56.02,5,9.72,56.33,3,9.81,56.10
3,10.35,1:06.56,5,10.67,1:06.62,1,9.96,1:06.44,4,10.57,1:06.59,6,10.41,1:06.74,2,10.45,1:06.55
1,9.55,1:16.11,5,10.02,1:16.64,3,10.08,1:16.52,4,10.03,1:16.62,6,9.96,1:16.70,2,9.79,1:16.34
1,9.78,1:25.89,4,9.68,1:26.32,3,9.75,1:26.27,5,9.74,1:26.36,6,9.79,1:26.49,2,9.69,1:26.03
1,9.84,1:35.73,3,9.65,1:35.97,5,9.91,1:36.18,4,9.73,1:36.09,6,9.82,1:36.31,2,9.85,1:35.88
1,9.64,1:45.37,3,9.59,1:45.56,6,10.05,1:46.23,4,9.60,1:45.69,5,9.52,1:45.83,2,9.65,1:45.53
1,9.21,1:54.58,4,9.47,1:55.03,6,10.41,1:56.64,3,9.26,1:54.95,5,9.33,1:55.16,2,9.32,1:54.85
1,8.79,2:03.37,4,8.93,2:03.96,6,10.85,2:07.49,2,8.77,2:03.72,5,8.90,2:04.06,3,9.07,2:03.92
1,8.86,2:12.23,3,8.76,2:12.72,6,11.41,2:18.90,2,8.63,2:12.35,4,8.88,2:12.94,5,9.18,2:13.10
2,8.94,2:21.17,3,8.88,2:21.60,6,12.18,2:31.08,1,8.77,2:21.12,4,9.00,2:21.94,5,9.40,2:22.50
