June Liang LIM POSITION,June Liang LIM LAP TIME,June Liang LIM ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME
6,10.13,10.13,3,9.68,9.68,4,9.86,9.86,2,9.57,9.57,1,9.55,9.55,5,9.97,9.97
6,13.31,23.44,3,13.46,23.14,4,13.38,23.24,2,13.48,23.05,1,13.41,22.96,5,13.40,23.37
6,13.96,37.40,3,13.81,36.95,4,13.88,37.12,2,13.72,36.77,1,13.63,36.59,5,13.90,37.27
6,13.40,50.80,3,13.50,50.45,4,13.41,50.53,2,13.59,50.36,1,13.67,50.26,5,13.38,50.65
6,13.27,1:04.07,2,13.15,1:03.60,3,13.11,1:03.64,4,13.29,1:03.65,1,13.26,1:03.52,5,13.20,1:03.85
6,11.42,1:15.49,4,11.51,1:15.11,3,11.40,1:15.04,2,11.34,1:14.99,1,11.36,1:14.88,5,11.41,1:15.26
6,11.24,1:26.73,3,10.98,1:26.09,4,11.12,1:26.16,1,10.99,1:25.98,2,11.16,1:26.04,5,11.02,1:26.28
6,11.28,1:38.01,3,10.37,1:36.46,4,10.38,1:36.54,1,10.20,1:36.18,2,10.25,1:36.29,5,10.34,1:36.62
6,11.83,1:49.84,3,10.52,1:46.98,4,10.55,1:47.09,1,10.56,1:46.74,2,10.54,1:46.83,5,10.59,1:47.21
6,12.10,2:01.94,3,10.01,1:56.99,4,9.98,1:57.07,1,10.00,1:56.74,2,10.04,1:56.87,5,9.94,1:57.15
6,12.99,2:14.93,3,9.84,2:06.83,4,9.83,2:06.90,1,9.91,2:06.65,2,9.85,2:06.72,5,9.86,2:07.01
6,13.72,2:28.65,4,9.76,2:16.59,3,9.58,2:16.48,1,9.71,2:16.36,2,9.75,2:16.47,5,9.61,2:16.62
5,12.22,2:40.87,2,10.17,2:26.76,3,19.96,2:36.44,4,20.17,2:36.53,6,28.24,2:44.71,1,9.87,2:26.49
3,12.47,2:53.332,2,10.18,2:36.931,0,,PEN,4,20.15,2:56.680,5,24.80,3:09.506,1,10.13,2:36.615
