BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,SHAO Shuai POSITION,SHAO Shuai LAP TIME,SHAO Shuai ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME
4,9.29,9.29,6,9.46,9.46,5,9.41,9.41,8,9.82,9.82,2,9.11,9.11,1,9.09,9.09,7,9.49,9.49,3,9.17,9.17
4,12.38,21.67,7,12.44,21.90,6,12.35,21.76,8,12.25,22.07,1,12.20,21.31,2,12.37,21.46,5,12.20,21.69,3,12.47,21.64
3,10.48,32.15,7,10.69,32.59,6,10.71,32.47,8,10.69,32.76,2,10.75,32.06,4,10.81,32.27,1,10.21,31.90,5,10.74,32.38
3,10.14,42.29,7,10.11,42.70,6,10.13,42.60,8,10.02,42.78,2,10.11,42.17,5,10.25,42.52,1,10.19,42.09,4,9.99,42.37
3,10.25,52.54,7,10.19,52.89,6,10.19,52.79,8,10.16,52.94,2,10.24,52.41,5,10.19,52.71,1,10.20,52.29,3,10.17,52.54
3,9.65,1:02.19,6,9.61,1:02.50,8,9.91,1:02.70,7,9.66,1:02.60,4,9.91,1:02.32,5,9.72,1:02.43,2,9.81,1:02.10,1,9.42,1:01.96
3,9.63,1:11.82,7,9.68,1:12.18,8,9.49,1:12.19,5,9.48,1:12.08,4,9.64,1:11.96,5,9.65,1:12.08,2,9.66,1:11.76,1,9.68,1:11.64
3,9.33,1:21.15,8,9.57,1:21.75,7,9.45,1:21.64,4,9.17,1:21.25,5,9.40,1:21.36,6,9.43,1:21.51,2,9.27,1:21.03,1,9.29,1:20.93
2,9.10,1:30.25,8,9.18,1:30.93,7,9.17,1:30.81,3,9.16,1:30.41,5,9.24,1:30.60,6,9.22,1:30.73,4,9.39,1:30.42,1,9.19,1:30.12
2,9.10,1:39.35,8,9.28,1:40.21,7,9.34,1:40.15,3,9.07,1:39.48,4,9.06,1:39.66,6,9.32,1:40.05,5,9.33,1:39.75,1,9.13,1:39.25
2,9.25,1:48.60,7,9.24,1:49.45,8,9.41,1:49.56,3,9.21,1:48.69,4,9.10,1:48.76,6,9.34,1:49.39,5,9.46,1:49.21,1,9.25,1:48.50
2,9.49,1:58.09,5,9.20,1:58.65,8,9.72,1:59.28,4,9.48,1:58.17,3,9.39,1:58.15,7,9.76,1:59.15,6,9.74,1:58.95,1,9.47,1:57.97
2,9.59,2:07.68,5,9.47,2:08.12,7,9.67,2:08.95,3,9.60,2:07.77,4,9.63,2:07.78,8,10.09,2:09.24,6,9.98,2:08.93,1,9.59,2:07.56
8,38.21,2:45.89,2,10.08,2:18.20,3,10.14,2:19.09,1,10.05,2:17.82,6,22.18,2:29.96,5,10.41,2:19.65,4,10.27,2:19.20,7,37.22,2:44.78
