Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME
4,14.37,14.37,1,14.05,14.05,3,14.27,14.27,2,14.19,14.19
4,11.08,25.45,3,11.22,25.27,1,10.89,25.16,2,11.01,25.20
4,10.05,35.50,3,10.10,35.37,1,9.96,35.12,2,10.02,35.22
3,9.38,44.88,4,9.52,44.89,1,9.52,44.64,2,9.54,44.76
3,9.28,54.16,4,9.38,54.27,1,9.31,53.95,2,9.28,54.04
3,8.89,1:03.05,4,8.91,1:03.18,1,8.98,1:02.93,2,9.00,1:03.04
4,8.82,1:11.87,3,8.68,1:11.86,1,8.69,1:11.62,2,8.74,1:11.78
3,8.99,1:20.86,4,9.05,1:20.91,1,8.62,1:20.24,2,8.90,1:20.68
3,8.72,1:29.573,4,8.70,1:29.610,1,9.06,1:29.298,2,8.83,1:29.510
