Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
1,6.72,6.72,3,6.95,6.95,2,6.80,6.80,4,7.07,7.07
1,8.81,15.53,3,8.74,15.69,2,8.76,15.56,4,8.87,15.94
4,23.90,39.43,1,8.40,24.09,3,9.03,24.59,2,8.33,24.27
4,16.08,55.51,1,8.51,32.60,3,8.67,33.26,2,8.44,32.71
3,12.00,1:07.508,1,8.77,41.370,0,,PEN,2,8.90,41.609
