Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME
2,13.29,13.29,3,13.43,13.43,4,13.52,13.52,5,13.64,13.64,1,13.18,13.18
2,10.08,23.37,4,10.10,23.53,1,9.84,23.36,5,10.04,23.68,3,10.34,23.52
3,9.29,32.66,2,9.07,32.60,1,9.22,32.58,5,9.23,32.91,4,9.27,32.79
3,9.20,41.86,1,9.12,41.72,2,9.20,41.78,5,9.13,42.04,4,9.15,41.94
3,9.22,51.08,2,9.25,50.97,1,9.09,50.87,5,9.27,51.31,4,9.24,51.18
3,8.99,1:00.07,2,8.98,59.95,1,9.00,59.87,5,8.96,1:00.27,4,8.98,1:00.16
3,9.00,1:09.07,2,9.01,1:08.96,1,9.01,1:08.88,5,9.00,1:09.27,4,9.03,1:09.19
3,9.01,1:18.08,2,9.06,1:18.02,1,9.06,1:17.94,5,9.20,1:18.47,4,9.27,1:18.46
2,9.21,1:27.278,3,9.37,1:27.321,1,9.27,1:27.193,4,9.50,1:27.960,5,10.11,1:28.564
